LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
34089,MIDAGE SINGLES/COUPLES,Mainstream
34052,MIDAGE SINGLES/COUPLES,Mainstream
34043,MIDAGE SINGLES/COUPLES,Budget
34030,MIDAGE SINGLES/COUPLES,Mainstream
34022,MIDAGE SINGLES/COUPLES,Mainstream
34015,MIDAGE SINGLES/COUPLES,Mainstream
34013,MIDAGE SINGLES/COUPLES,Premium
33254,MIDAGE SINGLES/COUPLES,Premium
33251,MIDAGE SINGLES/COUPLES,Mainstream
33241,MIDAGE SINGLES/COUPLES,Premium
33225,MIDAGE SINGLES/COUPLES,Mainstream
33217,MIDAGE SINGLES/COUPLES,Premium
33176,MIDAGE SINGLES/COUPLES,Mainstream
33152,MIDAGE SINGLES/COUPLES,Budget
33129,MIDAGE SINGLES/COUPLES,Premium
33118,MIDAGE SINGLES/COUPLES,Mainstream
33104,MIDAGE SINGLES/COUPLES,Premium
33083,MIDAGE SINGLES/COUPLES,Mainstream
33081,MIDAGE SINGLES/COUPLES,Budget
33077,MIDAGE SINGLES/COUPLES,Premium
33030,MIDAGE SINGLES/COUPLES,Premium
33029,MIDAGE SINGLES/COUPLES,Premium
33027,MIDAGE SINGLES/COUPLES,Budget
33019,MIDAGE SINGLES/COUPLES,Budget
33005,MIDAGE SINGLES/COUPLES,Budget
33002,MIDAGE SINGLES/COUPLES,Mainstream
32208,MIDAGE SINGLES/COUPLES,Budget
32204,MIDAGE SINGLES/COUPLES,Mainstream
32169,MIDAGE SINGLES/COUPLES,Budget
32165,MIDAGE SINGLES/COUPLES,Mainstream
32130,MIDAGE SINGLES/COUPLES,Budget
32115,MIDAGE SINGLES/COUPLES,Mainstream
32114,MIDAGE SINGLES/COUPLES,Budget
32095,MIDAGE SINGLES/COUPLES,Budget
32089,MIDAGE SINGLES/COUPLES,Premium
32083,MIDAGE SINGLES/COUPLES,Premium
32070,MIDAGE SINGLES/COUPLES,Mainstream
32025,MIDAGE SINGLES/COUPLES,Premium
30208,MIDAGE SINGLES/COUPLES,Premium
30197,MIDAGE SINGLES/COUPLES,Mainstream
30176,MIDAGE SINGLES/COUPLES,Mainstream
30131,MIDAGE SINGLES/COUPLES,Budget
30112,MIDAGE SINGLES/COUPLES,Premium
30111,MIDAGE SINGLES/COUPLES,Premium
30072,MIDAGE SINGLES/COUPLES,Mainstream
30071,MIDAGE SINGLES/COUPLES,Mainstream
30052,MIDAGE SINGLES/COUPLES,Mainstream
30039,MIDAGE SINGLES/COUPLES,Premium
30037,MIDAGE SINGLES/COUPLES,Mainstream
30032,MIDAGE SINGLES/COUPLES,Budget
29339,MIDAGE SINGLES/COUPLES,Premium
29328,MIDAGE SINGLES/COUPLES,Budget
29315,MIDAGE SINGLES/COUPLES,Mainstream
29312,MIDAGE SINGLES/COUPLES,Premium
29301,MIDAGE SINGLES/COUPLES,Mainstream
29288,MIDAGE SINGLES/COUPLES,Mainstream
29274,MIDAGE SINGLES/COUPLES,Premium
29244,MIDAGE SINGLES/COUPLES,Mainstream
29234,MIDAGE SINGLES/COUPLES,Mainstream
29221,MIDAGE SINGLES/COUPLES,Mainstream
29214,MIDAGE SINGLES/COUPLES,Budget
29212,MIDAGE SINGLES/COUPLES,Mainstream
29208,MIDAGE SINGLES/COUPLES,Premium
29188,MIDAGE SINGLES/COUPLES,Mainstream
29187,MIDAGE SINGLES/COUPLES,Premium
29186,MIDAGE SINGLES/COUPLES,Premium
29185,MIDAGE SINGLES/COUPLES,Premium
29176,MIDAGE SINGLES/COUPLES,Premium
29172,MIDAGE SINGLES/COUPLES,Premium
29142,MIDAGE SINGLES/COUPLES,Mainstream
29126,MIDAGE SINGLES/COUPLES,Mainstream
29095,MIDAGE SINGLES/COUPLES,Premium
29087,MIDAGE SINGLES/COUPLES,Mainstream
29083,MIDAGE SINGLES/COUPLES,Premium
29056,MIDAGE SINGLES/COUPLES,Mainstream
29033,MIDAGE SINGLES/COUPLES,Premium
29032,MIDAGE SINGLES/COUPLES,Mainstream
29028,MIDAGE SINGLES/COUPLES,Mainstream
29027,MIDAGE SINGLES/COUPLES,Premium
29004,MIDAGE SINGLES/COUPLES,Mainstream
29002,MIDAGE SINGLES/COUPLES,Premium
29001,MIDAGE SINGLES/COUPLES,Budget
28227,MIDAGE SINGLES/COUPLES,Budget
28226,MIDAGE SINGLES/COUPLES,Mainstream
28206,MIDAGE SINGLES/COUPLES,Budget
28189,MIDAGE SINGLES/COUPLES,Premium
28180,MIDAGE SINGLES/COUPLES,Premium
28175,MIDAGE SINGLES/COUPLES,Mainstream
28116,MIDAGE SINGLES/COUPLES,Premium
28113,MIDAGE SINGLES/COUPLES,Premium
28112,MIDAGE SINGLES/COUPLES,Premium
28100,MIDAGE SINGLES/COUPLES,Mainstream
28068,MIDAGE SINGLES/COUPLES,Budget
28066,MIDAGE SINGLES/COUPLES,Mainstream
28064,MIDAGE SINGLES/COUPLES,Mainstream
28039,MIDAGE SINGLES/COUPLES,Mainstream
28038,MIDAGE SINGLES/COUPLES,Mainstream
28035,MIDAGE SINGLES/COUPLES,Mainstream
28034,MIDAGE SINGLES/COUPLES,Mainstream
28014,MIDAGE SINGLES/COUPLES,Mainstream
28006,MIDAGE SINGLES/COUPLES,Mainstream
28005,MIDAGE SINGLES/COUPLES,Premium
28004,MIDAGE SINGLES/COUPLES,Mainstream
27376,MIDAGE SINGLES/COUPLES,Mainstream
27370,MIDAGE SINGLES/COUPLES,Mainstream
27368,MIDAGE SINGLES/COUPLES,Mainstream
27365,MIDAGE SINGLES/COUPLES,Premium
27357,MIDAGE SINGLES/COUPLES,Premium
27350,MIDAGE SINGLES/COUPLES,Mainstream
27342,MIDAGE SINGLES/COUPLES,Premium
27339,MIDAGE SINGLES/COUPLES,Mainstream
27329,MIDAGE SINGLES/COUPLES,Mainstream
27319,MIDAGE SINGLES/COUPLES,Mainstream
27314,MIDAGE SINGLES/COUPLES,Premium
27292,MIDAGE SINGLES/COUPLES,Mainstream
27290,MIDAGE SINGLES/COUPLES,Premium
27278,MIDAGE SINGLES/COUPLES,Premium
27275,MIDAGE SINGLES/COUPLES,Mainstream
27273,MIDAGE SINGLES/COUPLES,Budget
27260,MIDAGE SINGLES/COUPLES,Premium
27249,MIDAGE SINGLES/COUPLES,Premium
27248,MIDAGE SINGLES/COUPLES,Mainstream
27244,MIDAGE SINGLES/COUPLES,Premium
27239,MIDAGE SINGLES/COUPLES,Premium
27218,MIDAGE SINGLES/COUPLES,Premium
27176,MIDAGE SINGLES/COUPLES,Mainstream
27170,MIDAGE SINGLES/COUPLES,Mainstream
27167,MIDAGE SINGLES/COUPLES,Premium
27143,MIDAGE SINGLES/COUPLES,Premium
27134,MIDAGE SINGLES/COUPLES,Mainstream
27132,MIDAGE SINGLES/COUPLES,Budget
27116,MIDAGE SINGLES/COUPLES,Budget
27102,MIDAGE SINGLES/COUPLES,Mainstream
27085,MIDAGE SINGLES/COUPLES,Premium
27060,MIDAGE SINGLES/COUPLES,Mainstream
27057,MIDAGE SINGLES/COUPLES,Mainstream
27049,MIDAGE SINGLES/COUPLES,Premium
27048,MIDAGE SINGLES/COUPLES,Mainstream
27047,MIDAGE SINGLES/COUPLES,Premium
27044,MIDAGE SINGLES/COUPLES,Budget
27037,MIDAGE SINGLES/COUPLES,Premium
27026,MIDAGE SINGLES/COUPLES,Budget
27020,MIDAGE SINGLES/COUPLES,Mainstream
27008,MIDAGE SINGLES/COUPLES,Mainstream
26367,MIDAGE SINGLES/COUPLES,Mainstream
26348,MIDAGE SINGLES/COUPLES,Mainstream
26345,MIDAGE SINGLES/COUPLES,Mainstream
26341,MIDAGE SINGLES/COUPLES,Budget
26330,MIDAGE SINGLES/COUPLES,Budget
26310,MIDAGE SINGLES/COUPLES,Premium
26296,MIDAGE SINGLES/COUPLES,Premium
26292,MIDAGE SINGLES/COUPLES,Premium
26291,MIDAGE SINGLES/COUPLES,Mainstream
26285,MIDAGE SINGLES/COUPLES,Mainstream
26279,MIDAGE SINGLES/COUPLES,Mainstream
26276,MIDAGE SINGLES/COUPLES,Premium
26265,MIDAGE SINGLES/COUPLES,Premium
26249,MIDAGE SINGLES/COUPLES,Mainstream
26243,MIDAGE SINGLES/COUPLES,Mainstream
26235,MIDAGE SINGLES/COUPLES,Premium
26228,MIDAGE SINGLES/COUPLES,Premium
26205,MIDAGE SINGLES/COUPLES,Mainstream
26201,MIDAGE SINGLES/COUPLES,Premium
26198,MIDAGE SINGLES/COUPLES,Mainstream
26197,MIDAGE SINGLES/COUPLES,Mainstream
26193,MIDAGE SINGLES/COUPLES,Premium
26185,MIDAGE SINGLES/COUPLES,Mainstream
26182,MIDAGE SINGLES/COUPLES,Mainstream
26181,MIDAGE SINGLES/COUPLES,Mainstream
26174,MIDAGE SINGLES/COUPLES,Mainstream
26172,MIDAGE SINGLES/COUPLES,Mainstream
26168,MIDAGE SINGLES/COUPLES,Mainstream
26163,MIDAGE SINGLES/COUPLES,Premium
26150,MIDAGE SINGLES/COUPLES,Mainstream
26142,MIDAGE SINGLES/COUPLES,Budget
26141,MIDAGE SINGLES/COUPLES,Mainstream
26132,MIDAGE SINGLES/COUPLES,Mainstream
26127,MIDAGE SINGLES/COUPLES,Mainstream
26115,MIDAGE SINGLES/COUPLES,Budget
26110,MIDAGE SINGLES/COUPLES,Mainstream
26100,MIDAGE SINGLES/COUPLES,Premium
26079,MIDAGE SINGLES/COUPLES,Mainstream
26070,MIDAGE SINGLES/COUPLES,Mainstream
26063,MIDAGE SINGLES/COUPLES,Premium
26049,MIDAGE SINGLES/COUPLES,Premium
26044,MIDAGE SINGLES/COUPLES,Mainstream
26043,MIDAGE SINGLES/COUPLES,Premium
26032,MIDAGE SINGLES/COUPLES,Premium
26029,MIDAGE SINGLES/COUPLES,Premium
26014,MIDAGE SINGLES/COUPLES,Premium
26009,MIDAGE SINGLES/COUPLES,Mainstream
26000,MIDAGE SINGLES/COUPLES,Mainstream
25362,MIDAGE SINGLES/COUPLES,Premium
25353,MIDAGE SINGLES/COUPLES,Premium
25291,MIDAGE SINGLES/COUPLES,Premium
25284,MIDAGE SINGLES/COUPLES,Mainstream
25275,MIDAGE SINGLES/COUPLES,Mainstream
25267,MIDAGE SINGLES/COUPLES,Mainstream
25265,MIDAGE SINGLES/COUPLES,Mainstream
25262,MIDAGE SINGLES/COUPLES,Budget
25250,MIDAGE SINGLES/COUPLES,Premium
25245,MIDAGE SINGLES/COUPLES,Mainstream
25236,MIDAGE SINGLES/COUPLES,Mainstream
25220,MIDAGE SINGLES/COUPLES,Mainstream
25212,MIDAGE SINGLES/COUPLES,Mainstream
25200,MIDAGE SINGLES/COUPLES,Budget
25198,MIDAGE SINGLES/COUPLES,Mainstream
25190,MIDAGE SINGLES/COUPLES,Budget
25163,MIDAGE SINGLES/COUPLES,Mainstream
25162,MIDAGE SINGLES/COUPLES,Mainstream
25158,MIDAGE SINGLES/COUPLES,Premium
25142,MIDAGE SINGLES/COUPLES,Mainstream
25137,MIDAGE SINGLES/COUPLES,Premium
25133,MIDAGE SINGLES/COUPLES,Premium
25105,MIDAGE SINGLES/COUPLES,Budget
25095,MIDAGE SINGLES/COUPLES,Mainstream
25094,MIDAGE SINGLES/COUPLES,Mainstream
25092,MIDAGE SINGLES/COUPLES,Mainstream
25089,MIDAGE SINGLES/COUPLES,Budget
25080,MIDAGE SINGLES/COUPLES,Mainstream
25058,MIDAGE SINGLES/COUPLES,Mainstream
25057,MIDAGE SINGLES/COUPLES,Premium
25025,MIDAGE SINGLES/COUPLES,Premium
25022,MIDAGE SINGLES/COUPLES,Mainstream
25000,MIDAGE SINGLES/COUPLES,Mainstream
24227,MIDAGE SINGLES/COUPLES,Budget
24220,MIDAGE SINGLES/COUPLES,Premium
24178,MIDAGE SINGLES/COUPLES,Mainstream
24142,MIDAGE SINGLES/COUPLES,Premium
24139,MIDAGE SINGLES/COUPLES,Budget
24132,MIDAGE SINGLES/COUPLES,Premium
24125,MIDAGE SINGLES/COUPLES,Mainstream
24120,MIDAGE SINGLES/COUPLES,Budget
24091,MIDAGE SINGLES/COUPLES,Mainstream
24065,MIDAGE SINGLES/COUPLES,Mainstream
24060,MIDAGE SINGLES/COUPLES,Mainstream
24059,MIDAGE SINGLES/COUPLES,Premium
24048,MIDAGE SINGLES/COUPLES,Premium
24041,MIDAGE SINGLES/COUPLES,Mainstream
24040,MIDAGE SINGLES/COUPLES,Premium
24032,MIDAGE SINGLES/COUPLES,Budget
24016,MIDAGE SINGLES/COUPLES,Premium
24014,MIDAGE SINGLES/COUPLES,Mainstream
24010,MIDAGE SINGLES/COUPLES,Mainstream
23245,MIDAGE SINGLES/COUPLES,Premium
23242,MIDAGE SINGLES/COUPLES,Mainstream
23234,MIDAGE SINGLES/COUPLES,Mainstream
23233,MIDAGE SINGLES/COUPLES,Premium
23232,MIDAGE SINGLES/COUPLES,Premium
23227,MIDAGE SINGLES/COUPLES,Premium
23226,MIDAGE SINGLES/COUPLES,Premium
23224,MIDAGE SINGLES/COUPLES,Mainstream
23203,MIDAGE SINGLES/COUPLES,Mainstream
23202,MIDAGE SINGLES/COUPLES,Premium
23187,MIDAGE SINGLES/COUPLES,Mainstream
23176,MIDAGE SINGLES/COUPLES,Mainstream
23151,MIDAGE SINGLES/COUPLES,Premium
23141,MIDAGE SINGLES/COUPLES,Premium
23130,MIDAGE SINGLES/COUPLES,Mainstream
23119,MIDAGE SINGLES/COUPLES,Budget
23116,MIDAGE SINGLES/COUPLES,Budget
23107,MIDAGE SINGLES/COUPLES,Budget
23097,MIDAGE SINGLES/COUPLES,Premium
23071,MIDAGE SINGLES/COUPLES,Mainstream
23069,MIDAGE SINGLES/COUPLES,Mainstream
23068,MIDAGE SINGLES/COUPLES,Mainstream
23067,MIDAGE SINGLES/COUPLES,Budget
23064,MIDAGE SINGLES/COUPLES,Mainstream
23061,MIDAGE SINGLES/COUPLES,Budget
23042,MIDAGE SINGLES/COUPLES,Premium
23031,MIDAGE SINGLES/COUPLES,Premium
23030,MIDAGE SINGLES/COUPLES,Premium
22470,MIDAGE SINGLES/COUPLES,Mainstream
22464,MIDAGE SINGLES/COUPLES,Premium
22458,MIDAGE SINGLES/COUPLES,Mainstream
22456,MIDAGE SINGLES/COUPLES,Budget
22453,MIDAGE SINGLES/COUPLES,Mainstream
22418,MIDAGE SINGLES/COUPLES,Premium
22411,MIDAGE SINGLES/COUPLES,Budget
22396,MIDAGE SINGLES/COUPLES,Mainstream
22389,MIDAGE SINGLES/COUPLES,Budget
22375,MIDAGE SINGLES/COUPLES,Budget
22373,MIDAGE SINGLES/COUPLES,Mainstream
22363,MIDAGE SINGLES/COUPLES,Mainstream
22338,MIDAGE SINGLES/COUPLES,Premium
22303,MIDAGE SINGLES/COUPLES,Premium
22248,MIDAGE SINGLES/COUPLES,Premium
22219,MIDAGE SINGLES/COUPLES,Mainstream
22206,MIDAGE SINGLES/COUPLES,Budget
22167,MIDAGE SINGLES/COUPLES,Mainstream
22141,MIDAGE SINGLES/COUPLES,Mainstream
22132,MIDAGE SINGLES/COUPLES,Mainstream
22131,MIDAGE SINGLES/COUPLES,Budget
22105,MIDAGE SINGLES/COUPLES,Mainstream
22039,MIDAGE SINGLES/COUPLES,Premium
22037,MIDAGE SINGLES/COUPLES,Mainstream
22024,MIDAGE SINGLES/COUPLES,Mainstream
21359,MIDAGE SINGLES/COUPLES,Budget
21357,MIDAGE SINGLES/COUPLES,Mainstream
21346,MIDAGE SINGLES/COUPLES,Premium
21342,MIDAGE SINGLES/COUPLES,Premium
21329,MIDAGE SINGLES/COUPLES,Mainstream
21300,MIDAGE SINGLES/COUPLES,Mainstream
21287,MIDAGE SINGLES/COUPLES,Mainstream
21277,MIDAGE SINGLES/COUPLES,Mainstream
21270,MIDAGE SINGLES/COUPLES,Premium
21231,MIDAGE SINGLES/COUPLES,Mainstream
21221,MIDAGE SINGLES/COUPLES,Mainstream
21193,MIDAGE SINGLES/COUPLES,Mainstream
21188,MIDAGE SINGLES/COUPLES,Premium
21172,MIDAGE SINGLES/COUPLES,Mainstream
21167,MIDAGE SINGLES/COUPLES,Premium
21157,MIDAGE SINGLES/COUPLES,Mainstream
21147,MIDAGE SINGLES/COUPLES,Mainstream
21144,MIDAGE SINGLES/COUPLES,Budget
21126,MIDAGE SINGLES/COUPLES,Mainstream
21120,MIDAGE SINGLES/COUPLES,Mainstream
21117,MIDAGE SINGLES/COUPLES,Mainstream
21115,MIDAGE SINGLES/COUPLES,Premium
21098,MIDAGE SINGLES/COUPLES,Mainstream
21092,MIDAGE SINGLES/COUPLES,Budget
21085,MIDAGE SINGLES/COUPLES,Mainstream
21080,MIDAGE SINGLES/COUPLES,Mainstream
21075,MIDAGE SINGLES/COUPLES,Mainstream
21047,MIDAGE SINGLES/COUPLES,Mainstream
21038,MIDAGE SINGLES/COUPLES,Mainstream
21032,MIDAGE SINGLES/COUPLES,Mainstream
20486,MIDAGE SINGLES/COUPLES,Budget
20464,MIDAGE SINGLES/COUPLES,Premium
20440,MIDAGE SINGLES/COUPLES,Premium
20433,MIDAGE SINGLES/COUPLES,Premium
20421,MIDAGE SINGLES/COUPLES,Mainstream
20418,MIDAGE SINGLES/COUPLES,Budget
20406,MIDAGE SINGLES/COUPLES,Mainstream
20386,MIDAGE SINGLES/COUPLES,Mainstream
20357,MIDAGE SINGLES/COUPLES,Mainstream
20341,MIDAGE SINGLES/COUPLES,Mainstream
20338,MIDAGE SINGLES/COUPLES,Budget
20329,MIDAGE SINGLES/COUPLES,Budget
20311,MIDAGE SINGLES/COUPLES,Budget
20307,MIDAGE SINGLES/COUPLES,Mainstream
20299,MIDAGE SINGLES/COUPLES,Premium
20289,MIDAGE SINGLES/COUPLES,Premium
20255,MIDAGE SINGLES/COUPLES,Mainstream
20248,MIDAGE SINGLES/COUPLES,Budget
20241,MIDAGE SINGLES/COUPLES,Mainstream
20208,MIDAGE SINGLES/COUPLES,Mainstream
20198,MIDAGE SINGLES/COUPLES,Premium
20191,MIDAGE SINGLES/COUPLES,Budget
20184,MIDAGE SINGLES/COUPLES,Mainstream
20181,MIDAGE SINGLES/COUPLES,Mainstream
20170,MIDAGE SINGLES/COUPLES,Mainstream
20167,MIDAGE SINGLES/COUPLES,Mainstream
20164,MIDAGE SINGLES/COUPLES,Budget
20153,MIDAGE SINGLES/COUPLES,Mainstream
20140,MIDAGE SINGLES/COUPLES,Mainstream
20137,MIDAGE SINGLES/COUPLES,Mainstream
20134,MIDAGE SINGLES/COUPLES,Budget
20123,MIDAGE SINGLES/COUPLES,Premium
20120,MIDAGE SINGLES/COUPLES,Budget
20087,MIDAGE SINGLES/COUPLES,Premium
20076,MIDAGE SINGLES/COUPLES,Premium
20074,MIDAGE SINGLES/COUPLES,Premium
20070,MIDAGE SINGLES/COUPLES,Mainstream
20060,MIDAGE SINGLES/COUPLES,Mainstream
20057,MIDAGE SINGLES/COUPLES,Mainstream
20056,MIDAGE SINGLES/COUPLES,Budget
20025,MIDAGE SINGLES/COUPLES,Mainstream
20023,MIDAGE SINGLES/COUPLES,Mainstream
19343,MIDAGE SINGLES/COUPLES,Mainstream
19336,MIDAGE SINGLES/COUPLES,Mainstream
19324,MIDAGE SINGLES/COUPLES,Mainstream
19290,MIDAGE SINGLES/COUPLES,Mainstream
19283,MIDAGE SINGLES/COUPLES,Mainstream
19280,MIDAGE SINGLES/COUPLES,Mainstream
19275,MIDAGE SINGLES/COUPLES,Mainstream
19272,MIDAGE SINGLES/COUPLES,Budget
19271,MIDAGE SINGLES/COUPLES,Premium
19261,MIDAGE SINGLES/COUPLES,Mainstream
19252,MIDAGE SINGLES/COUPLES,Mainstream
19243,MIDAGE SINGLES/COUPLES,Mainstream
19234,MIDAGE SINGLES/COUPLES,Budget
19202,MIDAGE SINGLES/COUPLES,Mainstream
19187,MIDAGE SINGLES/COUPLES,Mainstream
19166,MIDAGE SINGLES/COUPLES,Mainstream
19163,MIDAGE SINGLES/COUPLES,Mainstream
19149,MIDAGE SINGLES/COUPLES,Budget
19142,MIDAGE SINGLES/COUPLES,Premium
19113,MIDAGE SINGLES/COUPLES,Premium
19103,MIDAGE SINGLES/COUPLES,Mainstream
19100,MIDAGE SINGLES/COUPLES,Premium
19085,MIDAGE SINGLES/COUPLES,Premium
19072,MIDAGE SINGLES/COUPLES,Mainstream
19065,MIDAGE SINGLES/COUPLES,Budget
19059,MIDAGE SINGLES/COUPLES,Mainstream
19058,MIDAGE SINGLES/COUPLES,Budget
19045,MIDAGE SINGLES/COUPLES,Mainstream
19024,MIDAGE SINGLES/COUPLES,Budget
19011,MIDAGE SINGLES/COUPLES,Mainstream
19007,MIDAGE SINGLES/COUPLES,Mainstream
18468,MIDAGE SINGLES/COUPLES,Mainstream
18461,MIDAGE SINGLES/COUPLES,Premium
18439,MIDAGE SINGLES/COUPLES,Budget
18395,MIDAGE SINGLES/COUPLES,Premium
18392,MIDAGE SINGLES/COUPLES,Mainstream
18374,MIDAGE SINGLES/COUPLES,Premium
18350,MIDAGE SINGLES/COUPLES,Premium
18343,MIDAGE SINGLES/COUPLES,Mainstream
18307,MIDAGE SINGLES/COUPLES,Mainstream
18286,MIDAGE SINGLES/COUPLES,Premium
18285,MIDAGE SINGLES/COUPLES,Mainstream
18274,MIDAGE SINGLES/COUPLES,Mainstream
18271,MIDAGE SINGLES/COUPLES,Mainstream
18249,MIDAGE SINGLES/COUPLES,Premium
18234,MIDAGE SINGLES/COUPLES,Budget
18221,MIDAGE SINGLES/COUPLES,Premium
18212,MIDAGE SINGLES/COUPLES,Premium
18192,MIDAGE SINGLES/COUPLES,Budget
18185,MIDAGE SINGLES/COUPLES,Premium
18178,MIDAGE SINGLES/COUPLES,Mainstream
18170,MIDAGE SINGLES/COUPLES,Budget
18161,MIDAGE SINGLES/COUPLES,Premium
18143,MIDAGE SINGLES/COUPLES,Premium
18119,MIDAGE SINGLES/COUPLES,Mainstream
18080,MIDAGE SINGLES/COUPLES,Budget
18073,MIDAGE SINGLES/COUPLES,Mainstream
18071,MIDAGE SINGLES/COUPLES,Mainstream
18067,MIDAGE SINGLES/COUPLES,Mainstream
18034,MIDAGE SINGLES/COUPLES,Premium
18020,MIDAGE SINGLES/COUPLES,Budget
17340,MIDAGE SINGLES/COUPLES,Premium
17324,MIDAGE SINGLES/COUPLES,Premium
17321,MIDAGE SINGLES/COUPLES,Premium
17294,MIDAGE SINGLES/COUPLES,Budget
17290,MIDAGE SINGLES/COUPLES,Mainstream
17273,MIDAGE SINGLES/COUPLES,Mainstream
17197,MIDAGE SINGLES/COUPLES,Mainstream
17188,MIDAGE SINGLES/COUPLES,Premium
17177,MIDAGE SINGLES/COUPLES,Mainstream
17147,MIDAGE SINGLES/COUPLES,Mainstream
17141,MIDAGE SINGLES/COUPLES,Premium
17135,MIDAGE SINGLES/COUPLES,Premium
17127,MIDAGE SINGLES/COUPLES,Mainstream
17107,MIDAGE SINGLES/COUPLES,Premium
17101,MIDAGE SINGLES/COUPLES,Mainstream
17096,MIDAGE SINGLES/COUPLES,Budget
17095,MIDAGE SINGLES/COUPLES,Mainstream
17078,MIDAGE SINGLES/COUPLES,Premium
17060,MIDAGE SINGLES/COUPLES,Mainstream
17059,MIDAGE SINGLES/COUPLES,Mainstream
17028,MIDAGE SINGLES/COUPLES,Premium
17023,MIDAGE SINGLES/COUPLES,Budget
17017,MIDAGE SINGLES/COUPLES,Mainstream
17016,MIDAGE SINGLES/COUPLES,Mainstream
17008,MIDAGE SINGLES/COUPLES,Budget
16510,MIDAGE SINGLES/COUPLES,Premium
16508,MIDAGE SINGLES/COUPLES,Mainstream
16487,MIDAGE SINGLES/COUPLES,Mainstream
16428,MIDAGE SINGLES/COUPLES,Mainstream
16427,MIDAGE SINGLES/COUPLES,Budget
16416,MIDAGE SINGLES/COUPLES,Premium
16404,MIDAGE SINGLES/COUPLES,Budget
16397,MIDAGE SINGLES/COUPLES,Premium
16377,MIDAGE SINGLES/COUPLES,Mainstream
16368,MIDAGE SINGLES/COUPLES,Mainstream
16364,MIDAGE SINGLES/COUPLES,Budget
16355,MIDAGE SINGLES/COUPLES,Premium
16346,MIDAGE SINGLES/COUPLES,Mainstream
16322,MIDAGE SINGLES/COUPLES,Mainstream
16321,MIDAGE SINGLES/COUPLES,Budget
16313,MIDAGE SINGLES/COUPLES,Budget
16308,MIDAGE SINGLES/COUPLES,Mainstream
16306,MIDAGE SINGLES/COUPLES,Premium
16289,MIDAGE SINGLES/COUPLES,Mainstream
16286,MIDAGE SINGLES/COUPLES,Premium
16271,MIDAGE SINGLES/COUPLES,Premium
16263,MIDAGE SINGLES/COUPLES,Premium
16247,MIDAGE SINGLES/COUPLES,Mainstream
16233,MIDAGE SINGLES/COUPLES,Mainstream
16219,MIDAGE SINGLES/COUPLES,Premium
16192,MIDAGE SINGLES/COUPLES,Premium
16152,MIDAGE SINGLES/COUPLES,Mainstream
16138,MIDAGE SINGLES/COUPLES,Premium
16131,MIDAGE SINGLES/COUPLES,Budget
16109,MIDAGE SINGLES/COUPLES,Premium
16095,MIDAGE SINGLES/COUPLES,Mainstream
16092,MIDAGE SINGLES/COUPLES,Premium
16077,MIDAGE SINGLES/COUPLES,Mainstream
16066,MIDAGE SINGLES/COUPLES,Mainstream
16058,MIDAGE SINGLES/COUPLES,Premium
15235,MIDAGE SINGLES/COUPLES,Mainstream
15224,MIDAGE SINGLES/COUPLES,Premium
15212,MIDAGE SINGLES/COUPLES,Budget
15173,MIDAGE SINGLES/COUPLES,Mainstream
15168,MIDAGE SINGLES/COUPLES,Mainstream
15167,MIDAGE SINGLES/COUPLES,Mainstream
15145,MIDAGE SINGLES/COUPLES,Budget
15142,MIDAGE SINGLES/COUPLES,Mainstream
15141,MIDAGE SINGLES/COUPLES,Mainstream
15108,MIDAGE SINGLES/COUPLES,Budget
15091,MIDAGE SINGLES/COUPLES,Budget
15072,MIDAGE SINGLES/COUPLES,Premium
15068,MIDAGE SINGLES/COUPLES,Mainstream
15063,MIDAGE SINGLES/COUPLES,Mainstream
15027,MIDAGE SINGLES/COUPLES,Mainstream
15015,MIDAGE SINGLES/COUPLES,Mainstream
15012,MIDAGE SINGLES/COUPLES,Mainstream
15004,MIDAGE SINGLES/COUPLES,Premium
14198,MIDAGE SINGLES/COUPLES,Premium
14133,MIDAGE SINGLES/COUPLES,Premium
14113,MIDAGE SINGLES/COUPLES,Mainstream
14083,MIDAGE SINGLES/COUPLES,Mainstream
14050,MIDAGE SINGLES/COUPLES,Premium
14020,MIDAGE SINGLES/COUPLES,Premium
13245,MIDAGE SINGLES/COUPLES,Premium
13229,MIDAGE SINGLES/COUPLES,Budget
13213,MIDAGE SINGLES/COUPLES,Budget
13187,MIDAGE SINGLES/COUPLES,Mainstream
13177,MIDAGE SINGLES/COUPLES,Premium
13176,MIDAGE SINGLES/COUPLES,Budget
13156,MIDAGE SINGLES/COUPLES,Mainstream
13153,MIDAGE SINGLES/COUPLES,Premium
13130,MIDAGE SINGLES/COUPLES,Mainstream
13115,MIDAGE SINGLES/COUPLES,Premium
13100,MIDAGE SINGLES/COUPLES,Premium
13097,MIDAGE SINGLES/COUPLES,Mainstream
13094,MIDAGE SINGLES/COUPLES,Premium
13092,MIDAGE SINGLES/COUPLES,Mainstream
13089,MIDAGE SINGLES/COUPLES,Mainstream
13087,MIDAGE SINGLES/COUPLES,Premium
13060,MIDAGE SINGLES/COUPLES,Mainstream
13058,MIDAGE SINGLES/COUPLES,Mainstream
13054,MIDAGE SINGLES/COUPLES,Mainstream
13053,MIDAGE SINGLES/COUPLES,Mainstream
13048,MIDAGE SINGLES/COUPLES,Mainstream
13047,MIDAGE SINGLES/COUPLES,Budget
